Transaction Date,Details,,,Amount (INR)
27/11/23,"IND*AMAZON.IN - GROCER, HTTP://WWW.AM, IN",,,475
26/11/23,"FOOD ONE HYPER MART, BANGALORE, IN",,,208
26/11/23,"GREENVIEW MEDICAL CENT, BANGALORE, IN",,,150
26/11/23,"GREENVIEW MEDICAL CENT, BANGALORE, IN",,,350
26/11/23,"GREENVIEW PHARMA, BANGALORE, IN",,,748
24/11/23,"IND*AMAZON.IN - GROCER, HTTP://WWW.AM, IN",,,291
24/11/23,"HDFC ERGO General I, MUMBAI, IN",,,"67,447.00"
24/11/23,"J K ENTERPRISE, BANGALORE, IN",,,"4,337.91"
23/11/23,"IND*AMAZON.IN - GROCER, HTTP://WWW.AM, IN",,,800
22/11/23,"DUFRY, BANGALORE, IN",,,"1,450.01"
22/11/23,"DUFRY, BANGALORE, IN",,,"4,750.01"
14/11/23,"APOLLO CLINIC, BANGALORE, IN",,,600
14/11/23,"APOLLO CLINIC, BANGALORE, IN",,,"3,635.00"
14/11/23,"MYMARKET, BANGALORE, IN",,,340
13/11/23,12356UN03      000000003500    Wob8zHNJj71,,,35
13/11/23,12356UN03      000000015900    WlL2FQH3911,,,159
10/11/23,"IND*AMAZON.IN - BILL P, HTTP://WWW.AM, IN",,,"2,912.00"
09/11/23,"EVANA FOOD PRIVATE LIM, MYSORE, IN",,,441
08/11/23,"PAY*URBANCLAP TECHNOLO, WWW.URBANCLAP, IN",,,"1,068.00"
08/11/23,"IND*AMAZON.IN - GROCER, HTTP://WWW.AM, IN",,,305
04/11/23,"IND*AMAZON, HTTP://WWW.AM, IN",,,399
04/11/23,"THE BODY SHOP, BANGALORE, IN",,,"1,045.00"
04/11/23,"FOOD DISTRICT, BANGALORE, IN",,,135
04/11/23,"KRISPY KREME, BANGALORE, IN",,,95
03/11/23,"IND*AMAZON.IN - GROCER, HTTP://WWW.AM, IN",,,799
31/10/23,"IND*AMAZON, HTTP://WWW.AM, IN",,,119
30/10/23,"IND*AMAZON.IN - GROCER, HTTP://WWW.AM, IN",,,32
27/10/23,"Airtel, Gurgaon, IN",,,"4,271.60"